VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,election_zone_code,total_election_votes,eligible_voters_election,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,recall_valid_votes,recall_invalid_votes,recall_eligible_voters,recall_turnout_rate,recall_case,candidate_1_name,candidate_1_number,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_number,candidate_2_party,candidate_2_votes,candidate_3_name,candidate_3_number,candidate_3_party,candidate_3_votes,candidate_4_name,candidate_4_number,candidate_4_party,candidate_4_votes,candidate_5_name,candidate_5_number,candidate_5_party,candidate_5_votes,candidate_6_name,candidate_6_number,candidate_6_party,candidate_6_votes,candidate_7_name,candidate_7_number,candidate_7_party,candidate_7_votes,candidate_8_name,candidate_8_number,candidate_8_party,candidate_8_votes
63000010012,臺北市,松山區,龍田里,臺北市第03選區,6300003,6177,8244,王鴻薇,中國國民黨,4017,1752,3209,4961,24,8211,60.71,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,14,陳源發,2,無黨籍及未經政黨推薦,44,謝佩芬,3,民主進步黨,2030,高士恩,4,制度救世島,9,王鴻薇,5,中國國民黨,4017,楊時睿,6,台灣維新,30,陳一郎,7,臺灣雙語無法黨,33,,,,
63000010013,臺北市,松山區,東昌里,臺北市第03選區,6300003,1484,1995,王鴻薇,中國國民黨,737,631,568,1199,6,1962,61.42,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,1,陳源發,2,無黨籍及未經政黨推薦,13,謝佩芬,3,民主進步黨,707,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,737,楊時睿,6,台灣維新,10,陳一郎,7,臺灣雙語無法黨,15,,,,
63000010014,臺北市,松山區,東勢里,臺北市第03選區,6300003,2498,3389,王鴻薇,中國國民黨,1288,1043,1055,2098,8,3341,63.04,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,3,陳源發,2,無黨籍及未經政黨推薦,12,謝佩芬,3,民主進步黨,1161,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1288,楊時睿,6,台灣維新,18,陳一郎,7,臺灣雙語無法黨,14,,,,
63000010015,臺北市,松山區,中華里,臺北市第03選區,6300003,3694,4995,王鴻薇,中國國民黨,2120,1274,1727,3001,11,4902,61.44,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,11,陳源發,2,無黨籍及未經政黨推薦,38,謝佩芬,3,民主進步黨,1475,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,2120,楊時睿,6,台灣維新,19,陳一郎,7,臺灣雙語無法黨,29,,,,
63000010016,臺北市,松山區,民有里,臺北市第03選區,6300003,5314,7158,王鴻薇,中國國民黨,2657,2225,2175,4400,19,7068,62.52,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,9,陳源發,2,無黨籍及未經政黨推薦,37,謝佩芬,3,民主進步黨,2559,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,2657,楊時睿,6,台灣維新,24,陳一郎,7,臺灣雙語無法黨,23,,,,
63000010017,臺北市,松山區,民福里,臺北市第03選區,6300003,3798,5137,王鴻薇,中國國民黨,2249,1283,1873,3156,10,5040,62.82,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,6,陳源發,2,無黨籍及未經政黨推薦,30,謝佩芬,3,民主進步黨,1461,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,2249,楊時睿,6,台灣維新,25,陳一郎,7,臺灣雙語無法黨,23,,,,
63000010019,臺北市,松山區,安平里,臺北市第03選區,6300003,4884,6838,王鴻薇,中國國民黨,2480,1912,2058,3970,16,6682,59.65,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,15,陳源發,2,無黨籍及未經政黨推薦,53,謝佩芬,3,民主進步黨,2266,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,2480,楊時睿,6,台灣維新,34,陳一郎,7,臺灣雙語無法黨,32,,,,
63000010020,臺北市,松山區,鵬程里,臺北市第03選區,6300003,2928,3853,王鴻薇,中國國民黨,1762,973,1487,2460,8,3849,64.12,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,23,謝佩芬,3,民主進步黨,1103,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1762,楊時睿,6,台灣維新,23,陳一郎,7,臺灣雙語無法黨,8,,,,
63000010021,臺北市,松山區,自強里,臺北市第03選區,6300003,5484,7418,王鴻薇,中國國民黨,4010,1233,3335,4568,10,7273,62.95,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,9,陳源發,2,無黨籍及未經政黨推薦,44,謝佩芬,3,民主進步黨,1353,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,4010,楊時睿,6,台灣維新,35,陳一郎,7,臺灣雙語無法黨,29,,,,
63000010035,臺北市,松山區,松基里,臺北市第03選區,6300003,2113,2937,王鴻薇,中國國民黨,1045,901,854,1755,9,2920,60.41,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,5,陳源發,2,無黨籍及未經政黨推薦,16,謝佩芬,3,民主進步黨,1021,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1045,楊時睿,6,台灣維新,11,陳一郎,7,臺灣雙語無法黨,12,,,,
63000040001,臺北市,中山區,正守里,臺北市第03選區,6300003,1979,2753,王鴻薇,中國國民黨,966,785,790,1575,1,2694,58.5,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,4,陳源發,2,無黨籍及未經政黨推薦,25,謝佩芬,3,民主進步黨,951,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,966,楊時睿,6,台灣維新,19,陳一郎,7,臺灣雙語無法黨,9,,,,
63000040002,臺北市,中山區,正義里,臺北市第03選區,6300003,2964,4421,王鴻薇,中國國民黨,1566,1138,1264,2402,7,4454,54.09,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,15,陳源發,2,無黨籍及未經政黨推薦,31,謝佩芬,3,民主進步黨,1306,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,1566,楊時睿,6,台灣維新,26,陳一郎,7,臺灣雙語無法黨,15,,,,
63000040003,臺北市,中山區,正得里,臺北市第03選區,6300003,2150,3148,王鴻薇,中國國民黨,1132,883,947,1830,10,3232,56.93,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,29,謝佩芬,3,民主進步黨,952,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1132,楊時睿,6,台灣維新,10,陳一郎,7,臺灣雙語無法黨,19,,,,
63000040004,臺北市,中山區,民安里,臺北市第03選區,6300003,2638,3689,謝佩芬,民主進步黨,1332,1157,947,2104,7,3653,57.79,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,9,陳源發,2,無黨籍及未經政黨推薦,24,謝佩芬,3,民主進步黨,1332,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1247,楊時睿,6,台灣維新,11,陳一郎,7,臺灣雙語無法黨,13,,,,
63000040005,臺北市,中山區,康樂里,臺北市第03選區,6300003,1559,2246,王鴻薇,中國國民黨,837,567,712,1279,8,2300,55.96,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,5,陳源發,2,無黨籍及未經政黨推薦,22,謝佩芬,3,民主進步黨,677,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,837,楊時睿,6,台灣維新,10,陳一郎,7,臺灣雙語無法黨,5,,,,
63000040007,臺北市,中山區,聚盛里,臺北市第03選區,6300003,2272,3473,王鴻薇,中國國民黨,1244,811,1016,1827,16,3551,51.9,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,8,陳源發,2,無黨籍及未經政黨推薦,20,謝佩芬,3,民主進步黨,969,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1244,楊時睿,6,台灣維新,18,陳一郎,7,臺灣雙語無法黨,11,,,,
63000040008,臺北市,中山區,集英里,臺北市第03選區,6300003,4006,5680,謝佩芬,民主進步黨,2120,1803,1450,3253,16,5818,56.19,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,26,陳源發,2,無黨籍及未經政黨推薦,31,謝佩芬,3,民主進步黨,2120,高士恩,4,制度救世島,9,王鴻薇,5,中國國民黨,1736,楊時睿,6,台灣維新,47,陳一郎,7,臺灣雙語無法黨,37,,,,
63000040009,臺北市,中山區,聚葉里,臺北市第03選區,6300003,2290,3310,王鴻薇,中國國民黨,1116,892,922,1814,4,3275,55.51,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,8,陳源發,2,無黨籍及未經政黨推薦,28,謝佩芬,3,民主進步黨,1103,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,1116,楊時睿,6,台灣維新,17,陳一郎,7,臺灣雙語無法黨,14,,,,
63000040010,臺北市,中山區,恆安里,臺北市第03選區,6300003,2991,4262,王鴻薇,中國國民黨,1523,1117,1210,2327,7,4324,53.98,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,14,陳源發,2,無黨籍及未經政黨推薦,40,謝佩芬,3,民主進步黨,1368,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,1523,楊時睿,6,台灣維新,28,陳一郎,7,臺灣雙語無法黨,13,,,,
63000040011,臺北市,中山區,晴光里,臺北市第03選區,6300003,3172,4633,王鴻薇,中國國民黨,1637,1245,1384,2629,9,4878,54.08,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,12,陳源發,2,無黨籍及未經政黨推薦,35,謝佩芬,3,民主進步黨,1440,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1637,楊時睿,6,台灣維新,25,陳一郎,7,臺灣雙語無法黨,22,,,,
63000040012,臺北市,中山區,圓山里,臺北市第03選區,6300003,2389,3434,謝佩芬,民主進步黨,1195,1041,894,1935,16,3381,57.7,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,30,謝佩芬,3,民主進步黨,1195,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1117,楊時睿,6,台灣維新,24,陳一郎,7,臺灣雙語無法黨,13,,,,
63000040013,臺北市,中山區,劍潭里,臺北市第03選區,6300003,2159,2966,王鴻薇,中國國民黨,1643,400,1392,1792,8,2886,62.37,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,18,謝佩芬,3,民主進步黨,467,高士恩,4,制度救世島,0,王鴻薇,5,中國國民黨,1643,楊時睿,6,台灣維新,15,陳一郎,7,臺灣雙語無法黨,9,,,,
63000040014,臺北市,中山區,大直里,臺北市第03選區,6300003,5155,6965,王鴻薇,中國國民黨,2817,1828,2347,4175,22,6763,62.06,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,19,陳源發,2,無黨籍及未經政黨推薦,62,謝佩芬,3,民主進步黨,2175,高士恩,4,制度救世島,9,王鴻薇,5,中國國民黨,2817,楊時睿,6,台灣維新,40,陳一郎,7,臺灣雙語無法黨,33,,,,
63000040015,臺北市,中山區,成功里,臺北市第03選區,6300003,3673,5086,王鴻薇,中國國民黨,1906,1431,1492,2923,17,5044,58.29,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,12,陳源發,2,無黨籍及未經政黨推薦,30,謝佩芬,3,民主進步黨,1688,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1906,楊時睿,6,台灣維新,18,陳一郎,7,臺灣雙語無法黨,17,,,,
63000040016,臺北市,中山區,永安里,臺北市第03選區,6300003,5473,7432,王鴻薇,中國國民黨,2833,2165,2335,4500,11,7499,60.15,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,15,陳源發,2,無黨籍及未經政黨推薦,35,謝佩芬,3,民主進步黨,2518,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,2833,楊時睿,6,台灣維新,37,陳一郎,7,臺灣雙語無法黨,30,,,,
63000040017,臺北市,中山區,大佳里,臺北市第03選區,6300003,512,721,謝佩芬,民主進步黨,307,240,120,360,1,601,60.07,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,3,陳源發,2,無黨籍及未經政黨推薦,8,謝佩芬,3,民主進步黨,307,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,186,楊時睿,6,台灣維新,5,陳一郎,7,臺灣雙語無法黨,2,,,,
63000040018,臺北市,中山區,新喜里,臺北市第03選區,6300003,2972,4167,謝佩芬,民主進步黨,1528,1269,1127,2396,9,4076,59.0,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,15,陳源發,2,無黨籍及未經政黨推薦,33,謝佩芬,3,民主進步黨,1528,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1338,楊時睿,6,台灣維新,30,陳一郎,7,臺灣雙語無法黨,26,,,,
63000040019,臺北市,中山區,新庄里,臺北市第03選區,6300003,2909,4032,謝佩芬,民主進步黨,1485,1256,1174,2430,11,3940,61.95,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,10,陳源發,2,無黨籍及未經政黨推薦,33,謝佩芬,3,民主進步黨,1485,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,1338,楊時睿,6,台灣維新,23,陳一郎,7,臺灣雙語無法黨,15,,,,
63000040020,臺北市,中山區,新福里,臺北市第03選區,6300003,2989,4102,謝佩芬,民主進步黨,1617,1361,1092,2453,5,4134,59.46,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,15,陳源發,2,無黨籍及未經政黨推薦,39,謝佩芬,3,民主進步黨,1617,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1272,楊時睿,6,台灣維新,22,陳一郎,7,臺灣雙語無法黨,23,,,,
63000040021,臺北市,中山區,松江里,臺北市第03選區,6300003,3786,5111,謝佩芬,民主進步黨,1889,1527,1455,2982,12,5007,59.8,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,11,陳源發,2,無黨籍及未經政黨推薦,30,謝佩芬,3,民主進步黨,1889,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,1805,楊時睿,6,台灣維新,23,陳一郎,7,臺灣雙語無法黨,24,,,,
63000040022,臺北市,中山區,新生里,臺北市第03選區,6300003,2818,3813,謝佩芬,民主進步黨,1433,1116,1055,2171,13,3633,60.12,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,3,陳源發,2,無黨籍及未經政黨推薦,31,謝佩芬,3,民主進步黨,1433,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1325,楊時睿,6,台灣維新,11,陳一郎,7,臺灣雙語無法黨,13,,,,
63000040023,臺北市,中山區,中庄里,臺北市第03選區,6300003,2993,4217,謝佩芬,民主進步黨,1569,1277,1173,2450,13,4138,59.52,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,3,陳源發,2,無黨籍及未經政黨推薦,33,謝佩芬,3,民主進步黨,1569,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1344,楊時睿,6,台灣維新,24,陳一郎,7,臺灣雙語無法黨,17,,,,
63000040024,臺北市,中山區,行政里,臺北市第03選區,6300003,3669,6262,王鴻薇,中國國民黨,1828,1418,1511,2929,9,6240,47.08,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,8,陳源發,2,無黨籍及未經政黨推薦,20,謝佩芬,3,民主進步黨,1770,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1828,楊時睿,6,台灣維新,32,陳一郎,7,臺灣雙語無法黨,8,,,,
63000040025,臺北市,中山區,行仁里,臺北市第03選區,6300003,4720,6440,謝佩芬,民主進步黨,2412,1979,1813,3792,16,6269,60.74,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,13,陳源發,2,無黨籍及未經政黨推薦,44,謝佩芬,3,民主進步黨,2412,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,2191,楊時睿,6,台灣維新,37,陳一郎,7,臺灣雙語無法黨,18,,,,
63000040026,臺北市,中山區,行孝里,臺北市第03選區,6300003,2623,3675,謝佩芬,民主進步黨,1339,1120,1053,2173,9,3623,60.23,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,11,陳源發,2,無黨籍及未經政黨推薦,21,謝佩芬,3,民主進步黨,1339,高士恩,4,制度救世島,0,王鴻薇,5,中國國民黨,1215,楊時睿,6,台灣維新,16,陳一郎,7,臺灣雙語無法黨,21,,,,
63000040027,臺北市,中山區,下埤里,臺北市第03選區,6300003,4595,6223,謝佩芬,民主進步黨,2290,1951,1839,3790,12,6073,62.6,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,10,陳源發,2,無黨籍及未經政黨推薦,48,謝佩芬,3,民主進步黨,2290,高士恩,4,制度救世島,6,王鴻薇,5,中國國民黨,2199,楊時睿,6,台灣維新,26,陳一郎,7,臺灣雙語無法黨,16,,,,
63000040028,臺北市,中山區,江寧里,臺北市第03選區,6300003,4111,5605,王鴻薇,中國國民黨,2074,1634,1734,3368,17,5553,60.96,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,21,陳源發,2,無黨籍及未經政黨推薦,50,謝佩芬,3,民主進步黨,1917,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,2074,楊時睿,6,台灣維新,25,陳一郎,7,臺灣雙語無法黨,19,,,,
63000040029,臺北市,中山區,江山里,臺北市第03選區,6300003,4513,6108,謝佩芬,民主進步黨,2274,2009,1718,3727,22,6007,62.41,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,11,陳源發,2,無黨籍及未經政黨推薦,60,謝佩芬,3,民主進步黨,2274,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,2114,楊時睿,6,台灣維新,29,陳一郎,7,臺灣雙語無法黨,20,,,,
63000040030,臺北市,中山區,中吉里,臺北市第03選區,6300003,3304,4545,謝佩芬,民主進步黨,1742,1464,1123,2587,10,4405,58.96,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,21,陳源發,2,無黨籍及未經政黨推薦,41,謝佩芬,3,民主進步黨,1742,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1452,楊時睿,6,台灣維新,28,陳一郎,7,臺灣雙語無法黨,18,,,,
63000040031,臺北市,中山區,中原里,臺北市第03選區,6300003,2995,4133,謝佩芬,民主進步黨,1562,1277,1197,2474,14,4056,61.34,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,30,謝佩芬,3,民主進步黨,1562,高士恩,4,制度救世島,6,王鴻薇,5,中國國民黨,1348,楊時睿,6,台灣維新,18,陳一郎,7,臺灣雙語無法黨,24,,,,
63000040032,臺北市,中山區,興亞里,臺北市第03選區,6300003,3267,4561,謝佩芬,民主進步黨,1602,1381,1296,2677,12,4546,59.15,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,12,陳源發,2,無黨籍及未經政黨推薦,31,謝佩芬,3,民主進步黨,1602,高士恩,4,制度救世島,4,王鴻薇,5,中國國民黨,1575,楊時睿,6,台灣維新,21,陳一郎,7,臺灣雙語無法黨,22,,,,
63000040033,臺北市,中山區,中央里,臺北市第03選區,6300003,2194,2983,王鴻薇,中國國民黨,1069,932,899,1831,6,3016,60.91,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,24,謝佩芬,3,民主進步黨,1058,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1069,楊時睿,6,台灣維新,21,陳一郎,7,臺灣雙語無法黨,12,,,,
63000040034,臺北市,中山區,朱馥里,臺北市第03選區,6300003,3306,4684,王鴻薇,中國國民黨,1710,1196,1343,2539,12,4557,55.98,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,19,陳源發,2,無黨籍及未經政黨推薦,37,謝佩芬,3,民主進步黨,1498,高士恩,4,制度救世島,3,王鴻薇,5,中國國民黨,1710,楊時睿,6,台灣維新,28,陳一郎,7,臺灣雙語無法黨,11,,,,
